# ChronoModel 2.0.18
# ChronoModel Project
# Date Format : BC/AD
iter,EPI Begin,EPI End,V
11001,-28088.9792287915,-28088.9792287915,-28088.9792287915
11002,-29048.0745412133,-29048.0745412133,-29048.0745412133
11003,-28170.2283197467,-28170.2283197467,-28170.2283197467
11004,-28504.6866314865,-28504.6866314865,-28504.6866314865
11005,-28753.439612037,-28753.439612037,-28753.439612037
11006,-27852.2028509944,-27852.2028509944,-27852.2028509944
11007,-28702.236384924,-28702.236384924,-28702.236384924
11008,-27924.9813164055,-27924.9813164055,-27924.9813164055
11009,-26800.9374714727,-26800.9374714727,-26800.9374714727
11010,-28336.8656928886,-28336.8656928886,-28336.8656928886
11011,-27897.7387982725,-27897.7387982725,-27897.7387982725
11012,-27278.0453339735,-27278.0453339735,-27278.0453339735
11013,-28445.3093400656,-28445.3093400656,-28445.3093400656
11014,-27777.6380022729,-27777.6380022729,-27777.6380022729
11015,-27667.2898599148,-27667.2898599148,-27667.2898599148
11016,-28012.7260836739,-28012.7260836739,-28012.7260836739
11017,-28009.2343772584,-28009.2343772584,-28009.2343772584
11018,-27609.1983296426,-27609.1983296426,-27609.1983296426
11019,-28376.9290475812,-28376.9290475812,-28376.9290475812
11020,-27972.2980076407,-27972.2980076407,-27972.2980076407
11021,-28414.9212656602,-28414.9212656602,-28414.9212656602
11022,-27408.0817525907,-27408.0817525907,-27408.0817525907
11023,-28285.1420208531,-28285.1420208531,-28285.1420208531
11024,-28051.414868449,-28051.414868449,-28051.414868449
11025,-28002.5482480857,-28002.5482480857,-28002.5482480857
11026,-28227.4268198456,-28227.4268198456,-28227.4268198456
11027,-27844.1642473734,-27844.1642473734,-27844.1642473734
11028,-28876.2013300681,-28876.2013300681,-28876.2013300681
11029,-28246.9149105005,-28246.9149105005,-28246.9149105005
11030,-27636.6418103435,-27636.6418103435,-27636.6418103435
11031,-27656.3256603163,-27656.3256603163,-27656.3256603163
11032,-27837.4491454102,-27837.4491454102,-27837.4491454102
11033,-28353.7877311042,-28353.7877311042,-28353.7877311042
11034,-27496.5008303159,-27496.5008303159,-27496.5008303159
11035,-28023.5532298226,-28023.5532298226,-28023.5532298226
11036,-28064.7884003718,-28064.7884003718,-28064.7884003718
11037,-27173.4397435291,-27173.4397435291,-27173.4397435291
11038,-27042.0455193288,-27042.0455193288,-27042.0455193288
