# ChronoModel 2.0.18
# ChronoModel Project
# Date Format : BC/AD
iter,IUP Begin,IUP End,XXII
11001,-42014.0767078498,-42014.0767078498,-42014.0767078498
11002,-42477.6103537636,-42477.6103537636,-42477.6103537636
11003,-42010.5561328422,-42010.5561328422,-42010.5561328422
11004,-41863.2786587312,-41863.2786587312,-41863.2786587312
11005,-42045.8187801932,-42045.8187801932,-42045.8187801932
11006,-42528.1349782438,-42528.1349782438,-42528.1349782438
11007,-41889.7664569047,-41889.7664569047,-41889.7664569047
11008,-41951.5201940084,-41951.5201940084,-41951.5201940084
11009,-42132.4914754882,-42132.4914754882,-42132.4914754882
11010,-41744.2713880406,-41744.2713880406,-41744.2713880406
11011,-43441.2672118812,-43441.2672118812,-43441.2672118812
11012,-41709.0597342933,-41709.0597342933,-41709.0597342933
11013,-42221.3158987347,-42221.3158987347,-42221.3158987347
11014,-41851.5734105072,-41851.5734105072,-41851.5734105072
11015,-41603.650880719,-41603.650880719,-41603.650880719
11016,-42093.0489925748,-42093.0489925748,-42093.0489925748
11017,-43045.1513884657,-43045.1513884657,-43045.1513884657
11018,-41326.901879078,-41326.901879078,-41326.901879078
11019,-41991.5783145179,-41991.5783145179,-41991.5783145179
11020,-42078.054524886,-42078.054524886,-42078.054524886
11021,-41690.8337282472,-41690.8337282472,-41690.8337282472
11022,-41748.2741806067,-41748.2741806067,-41748.2741806067
11023,-41878.4542503749,-41878.4542503749,-41878.4542503749
11024,-41826.3920066771,-41826.3920066771,-41826.3920066771
11025,-41987.92884091,-41987.92884091,-41987.92884091
11026,-43810.8538253172,-43810.8538253172,-43810.8538253172
11027,-43411.1516231183,-43411.1516231183,-43411.1516231183
11028,-42117.4852952142,-42117.4852952142,-42117.4852952142
11029,-41576.4056515046,-41576.4056515046,-41576.4056515046
11030,-42156.1184990071,-42156.1184990071,-42156.1184990071
11031,-41691.8494723307,-41691.8494723307,-41691.8494723307
11032,-41348.5344826223,-41348.5344826223,-41348.5344826223
11033,-42467.7727578509,-42467.7727578509,-42467.7727578509
11034,-41610.3061714095,-41610.3061714095,-41610.3061714095
11035,-42562.8011947676,-42562.8011947676,-42562.8011947676
11036,-41813.1197002075,-41813.1197002075,-41813.1197002075
11037,-42380.9847121702,-42380.9847121702,-42380.9847121702
11038,-43048.4024341123,-43048.4024341123,-43048.4024341123
11039,-42860.569709044,-42860.569709044,-42860.569709044
11040,-42333.3277972183,-42333.3277972183,-42333.3277972183
11041,-42307.1642217217,-42307.1642217217,-42307.1642217217
11042,-41637.8084169273,-41637.8084169273,-41637.8084169273
11043,-42171.4140317618,-42171.4140317618,-42171.4140317618
11044,-42463.0826653783,-42463.0826653783,-42463.0826653783
11045,-41863.0483887914,-41863.0483887914,-41863.0483887914
11046,-41594.3207179346,-41594.3207179346,-41594.3207179346
11047,-42018.0550177618,-42018.0550177618,-42018.0550177618
11048,-41903.4252998261,-41903.4252998261,-41903.4252998261
11049,-42958.2464088578,-42958.2464088578,-42958.2464088578
11050,-42866.2891785345,-42866.2891785345,-42866.2891785345
11051,-42501.1536286306,-42501.1536286306,-42501.1536286306
11052,-41663.9824354133,-41663.9824354133,-41663.9824354133
11053,-42424.52996437,-42424.52996437,-42424.52996437
11054,-44068.8187675726,-44068.8187675726,-44068.8187675726
11055,-41772.783622075,-41772.783622075,-41772.783622075
11056,-41663.7781021052,-41663.7781021052,-41663.7781021052
11057,-41776.0364216527,-41776.0364216527,-41776.0364216527
11058,-42117.8674140804,-42117.8674140804,-42117.8674140804
11059,-42063.4587185654,-42063.4587185654,-42063.4587185654
11060,-43168.1881255086,-43168.1881255086,-43168.1881255086
11061,-42977.2274845265,-42977.2274845265,-42977.2274845265
11062,-41648.5596225835,-41648.5596225835,-41648.5596225835
