# ChronoModel 2.0.18
# ChronoModel Project
# Date Format : BC/AD
iter,UP Begin,UP End,VI,XI,XII
11001,-37864.5521485555,-30366.047020702,-30366.047020702,-36280.6319052257,-37864.5521485555
11002,-37556.8280641074,-30353.6661254221,-30353.6661254221,-36047.4222453293,-37556.8280641074
11003,-38141.6964230304,-31918.016340243,-31918.016340243,-38085.5854487589,-38141.6964230304
11004,-38035.112334473,-29670.8822039341,-29670.8822039341,-35997.4713011878,-38035.112334473
11005,-37515.572832287,-29886.6970199758,-29886.6970199758,-35805.8504022599,-37515.572832287
11006,-36094.6046904527,-29927.3251839122,-29927.3251839122,-35647.8027300347,-36094.6046904527
11007,-37592.8590552247,-30604.7316104411,-30604.7316104411,-35831.7805181816,-37592.8590552247
11008,-37012.5658126332,-30081.9550206635,-30081.9550206635,-34576.3437682059,-37012.5658126332
11009,-38032.2791156964,-31149.8425596828,-31149.8425596828,-35781.1903262377,-38032.2791156964
11010,-38797.8918807114,-30193.9692812608,-30193.9692812608,-36223.9469908351,-38797.8918807114
11011,-38004.3856312579,-28759.2075619707,-28759.2075619707,-37012.7589139476,-38004.3856312579
11012,-37156.1503586012,-30430.7066056627,-30430.7066056627,-37149.3734445475,-37156.1503586012
11013,-37345.7478802013,-30379.6703602344,-30379.6703602344,-35820.5390589713,-37345.7478802013
11014,-37882.4858651267,-30506.5949851264,-30506.5949851264,-36083.289739631,-37882.4858651267
11015,-37881.8605058963,-30243.1359700132,-30243.1359700132,-36627.6991824579,-37881.8605058963
11016,-35957.8510646938,-30168.976479653,-30168.976479653,-34815.7930245214,-35957.8510646938
11017,-37572.1001732333,-31240.5328014436,-31240.5328014436,-36845.2169311917,-37572.1001732333
11018,-37629.5874260105,-30187.6629243501,-30187.6629243501,-36246.2982157119,-37629.5874260105
11019,-37879.9263402051,-30331.4677234716,-30331.4677234716,-36236.7361392585,-37879.9263402051
11020,-37823.6254424649,-30348.8559331236,-30348.8559331236,-36177.0215170916,-37823.6254424649
11021,-37722.039009994,-30357.6771708068,-30357.6771708068,-36576.3043745023,-37722.039009994
11022,-37640.7886127782,-30697.6597120653,-30697.6597120653,-36690.2255985192,-37640.7886127782
11023,-37442.2925002481,-30205.8177218937,-30205.8177218937,-37265.0762873483,-37442.2925002481
11024,-38019.6820452805,-31532.1929154623,-31532.1929154623,-36646.8761161814,-38019.6820452805
11025,-37864.7487077581,-30143.2575638392,-30143.2575638392,-36832.1422189437,-37864.7487077581
11026,-37595.2507336451,-30404.3499816196,-30404.3499816196,-36662.4898085775,-37595.2507336451
11027,-38251.8001751845,-30817.9366153231,-30817.9366153231,-37127.3096496578,-38251.8001751845
11028,-38320.3194528926,-30257.9693733219,-30257.9693733219,-36165.1371311904,-38320.3194528926
11029,-37328.0122837836,-30537.3805049135,-30537.3805049135,-36323.1405813654,-37328.0122837836
11030,-37523.6198900938,-30323.5836927165,-30323.5836927165,-35368.4182095726,-37523.6198900938
11031,-37812.9753222364,-30291.2896430364,-30291.2896430364,-35593.3294796081,-37812.9753222364
11032,-37933.0211540768,-30518.1387245083,-30518.1387245083,-37127.9292768007,-37933.0211540768
11033,-38429.6099958289,-29795.3084281515,-29795.3084281515,-36521.5585566717,-38429.6099958289
11034,-37635.201603708,-30142.5239874492,-30142.5239874492,-35759.8003740648,-37635.201603708
11035,-37748.233714899,-30517.8413814376,-30517.8413814376,-36413.9426967269,-37748.233714899
11036,-38461.4548256875,-31059.448097755,-31059.448097755,-36181.6722331502,-38461.4548256875
11037,-38140.1118557297,-30286.9128583643,-30286.9128583643,-36453.5106418784,-38140.1118557297
11038,-37402.6823743733,-30606.6998674748,-30606.6998674748,-36383.6998690966,-37402.6823743733
11039,-37547.9538431111,-29681.1836461034,-29681.1836461034,-36551.6724922021,-37547.9538431111
11040,-37645.9118504262,-30332.5401042994,-30332.5401042994,-37017.3771013368,-37645.9118504262
11041,-38149.3993597631,-30063.3539220431,-30063.3539220431,-36747.8677673412,-38149.3993597631
11042,-37008.8802602487,-30199.5829640914,-30199.5829640914,-35690.2888023569,-37008.8802602487
11043,-36545.2779048972,-30263.9067146693,-30263.9067146693,-36390.8330730893,-36545.2779048972
11044,-38019.4362323805,-30532.968585138,-30532.968585138,-36348.4136466328,-38019.4362323805
11045,-37855.6936507328,-29993.3474528453,-29993.3474528453,-35872.5618400798,-37855.6936507328
11046,-36804.9124039681,-30040.6864930975,-30040.6864930975,-36172.4755862606,-36804.9124039681
11047,-36700.8438499845,-31000.6626601213,-31000.6626601213,-36504.8468973589,-36700.8438499845
11048,-38470.6436721056,-29390.466222519,-29390.466222519,-36348.7148926666,-38470.6436721056
11049,-37569.909489918,-30384.9269165551,-30384.9269165551,-36653.6006025541,-37569.909489918
11050,-37906.6249241497,-31149.9482472598,-31149.9482472598,-36726.6428475643,-37906.6249241497
11051,-37975.8114793032,-30645.0126097776,-30645.0126097776,-36265.5607139779,-37975.8114793032
11052,-37901.5950833665,-30051.7744897065,-30051.7744897065,-35358.020709142,-37901.5950833665
11053,-37979.8711459471,-30169.8525609227,-30169.8525609227,-36434.5083070096,-37979.8711459471
11054,-37815.0123737459,-30481.2282426678,-30481.2282426678,-36803.1688486361,-37815.0123737459
11055,-37868.9450152389,-30482.1213385304,-30482.1213385304,-36721.5203133096,-37868.9450152389
11056,-37732.4176360244,-29682.9342225653,-29682.9342225653,-33452.596379952,-37732.4176360244
11057,-37890.0866495419,-30705.2015405141,-30705.2015405141,-37047.2914782089,-37890.0866495419
11058,-37637.9745116723,-30562.8621236435,-30562.8621236435,-36079.1012921703,-37637.9745116723
11059,-37821.0107443873,-30231.7007052345,-30231.7007052345,-35778.1575517077,-37821.0107443873
11060,-37467.4904042145,-30613.180426778,-30613.180426778,-35956.730685768,-37467.4904042145
11061,-37735.5480782471,-30680.5015274554,-30680.5015274554,-36524.5299240837,-37735.5480782471
11062,-37402.2705940235,-29777.7855253229,-29777.7855253229,-36970.8656113566,-37402.2705940235
11063,-37937.7078639548,-30212.4619324881,-30212.4619324881,-36201.3702712463,-37937.7078639548
11064,-37660.397439626,-30317.3115456635,-30317.3115456635,-36156.8717416988,-37660.397439626
11065,-37888.8533666501,-29829.4486934742,-29829.4486934742,-36086.1151861093,-37888.8533666501
11066,-37248.0467498113,-30006.8610130116,-30006.8610130116,-36582.5373239533,-37248.0467498113
11067,-37707.8314237223,-30606.801321863,-30606.801321863,-37383.9112135495,-37707.8314237223
11068,-37913.0476837539,-30651.1281035322,-30651.1281035322,-36769.8280690415,-37913.0476837539
11069,-37295.8789464024,-29817.5313701604,-29817.5313701604,-35677.9679886188,-37295.8789464024
11070,-37796.9499195136,-30092.9273736846,-30092.9273736846,-36571.70592267,-37796.9499195136
11071,-38092.3540459253,-30174.018347457,-30174.018347457,-37573.0270070144,-38092.3540459253
11072,-37715.4873465987,-29729.680962303,-29729.680962303,-37348.6316717082,-37715.4873465987
11073,-37216.5807744813,-29884.3902470988,-29884.3902470988,-36371.5017060097,-37216.5807744813
11074,-37227.8850892873,-29932.5637210412,-29932.5637210412,-36719.0308420897,-37227.8850892873
11075,-38037.2352499659,-29764.1924367814,-29764.1924367814,-36605.0439637656,-38037.2352499659
11076,-37948.6183341125,-30211.6662775324,-30211.6662775324,-36451.0268533342,-37948.6183341125
11077,-37315.7578812251,-30147.2037870159,-30147.2037870159,-35967.2749404415,-37315.7578812251
11078,-37677.7525683353,-31538.0567812274,-31538.0567812274,-36087.6851206546,-37677.7525683353
11079,-38220.0040190426,-30519.4484264826,-30519.4484264826,-35667.5998015453,-38220.0040190426
11080,-37687.5555939366,-29964.7073994351,-29964.7073994351,-35190.9727045038,-37687.5555939366
11081,-38059.810663465,-30422.4057957576,-30422.4057957576,-36176.4276065164,-38059.810663465
11082,-37896.4987524527,-29354.0164866771,-29354.0164866771,-36172.5616241625,-37896.4987524527
