# ChronoModel 2.0.18
# ChronoModel Project
# Date Format : BC/AD
Item,MAP,Mean,Std dev,Q1,Q2,Q3,Credibility %,Credibility start,Credibility end,HPD1 %,HPD1 start,HPD1 end
EPI Begin,-27994,-27998,494.54,-28254,-27998,-27745,95.00,-29022,-27016,95.00,-29007,-26988
EPI End,-27994,-27998,494.54,-28254,-27998,-27745,95.00,-29022,-27016,95.00,-29007,-26988
UP Begin,-37816,-37709,459.91,-38012,-37761,-37464,95.00,-38521,-36741,95.00,-38541,-36736
UP End,-30308,-30325,613.99,-30604,-30300,-29997,95.00,-31535,-29189,95.00,-31517,-29138
Ahmarian Begin,-41378,-41461,329.82,-41650,-41430,-41236,95.00,-42121,-40865,95.00,-42117,-40847
Ahmarian End,-38231,-38232,402.54,-38474,-38229,-37984,95.00,-39018,-37406,95.00,-39052,-37423
IUP Begin,-41922,-42122,621.28,-42342,-42015,-41740,95.00,-43216,-41140,95.00,-43260,-41141
IUP End,-41922,-42122,621.28,-42342,-42015,-41740,95.00,-43216,-41140,95.00,-43260,-41141
V,-27994,-27998,494.54,-28254,-27998,-27745,95.00,-29022,-27016,95.00,-29007,-26988
VI,-30308,-30325,613.99,-30604,-30300,-29997,95.00,-31535,-29189,95.00,-31517,-29138
XI,-36440,-36254,649.26,-36617,-36331,-35984,95.00,-37403,-34994,95.00,-37436,-34991
XII,-37816,-37709,459.91,-38012,-37761,-37464,95.00,-38521,-36741,95.00,-38541,-36736
XVI_1,-39206,-39098,660.18,-39565,-39138,-38666,95.00,-40311,-37818,95.00,-40320,-37788
XVI_2,-38272,-38350,418.48,-38587,-38317,-38078,95.00,-39215,-37562,95.00,-39216,-37545
XVI_3,-39320,-39196,430.72,-39483,-39242,-38962,95.00,-39952,-38282,95.00,-39986,-38298
XVI_4,-39282,-39109,663.75,-39578,-39154,-38668,95.00,-40350,-37838,95.00,-40341,-37797
XVII_1,-40065,-40009,522.45,-40378,-40017,-39651,95.00,-41016,-39039,95.00,-41007,-39006
XVII_2,-40633,-40444,437.37,-40755,-40496,-40180,95.00,-41207,-39545,95.00,-41216,-39535
XVII_3,-39609,-39812,493.86,-40140,-39766,-39448,95.00,-40791,-38931,95.00,-40808,-38920
XVII_4,-40178,-40164,296.47,-40345,-40165,-39983,95.00,-40742,-39563,95.00,-40760,-39567
XVIII,-40806,-40764,340.33,-40989,-40775,-40542,95.00,-41393,-40074,95.00,-41419,-40082
XIX,-41020,-41049,285.41,-41224,-41040,-40859,95.00,-41601,-40492,95.00,-41619,-40494
XX,-41378,-41461,329.82,-41650,-41430,-41236,95.00,-42121,-40865,95.00,-42117,-40847
XXII,-41922,-42122,621.28,-42342,-42015,-41740,95.00,-43216,-41140,95.00,-43260,-41141
GrA-53005,-27929,-28005,244.86,-28182,-27997,-27823,95.00,-28476,-27563,95.00,-28470,-27545
GrA-54848,-30324,-30295,293.28,-30507,-30296,-30076,95.00,-30845,-29754,95.00,-30846,-29743
GrA-53006,-36442,-36328,331.41,-36551,-36381,-36149,95.00,-36912,-35635,95.00,-36916,-35623
GrA-57545,-37949,-37928,305.01,-38130,-37932,-37730,95.00,-38508,-37313,95.00,-38519,-37312
GrA-54847,-41100,-41119,303.98,-41301,-41101,-40912,95.00,-41714,-40523,95.00,-41733,-40525
GrA-57544,-38216,-38230,283.18,-38411,-38222,-38041,95.00,-38804,-37687,95.00,-38808,-37679
GrA-57598,-39423,-39395,266.36,-39576,-39412,-39231,95.00,-39883,-38844,95.00,-39891,-38840
GrA-57599,-41064,-41112,262.12,-41271,-41096,-40934,95.00,-41644,-40624,95.00,-41638,-40606
GrA-53001,-36314,-36144,344.35,-36386,-36196,-35952,95.00,-36724,-35412,95.00,-36739,-35407
GrA-54846,-40965,-41005,254.06,-41160,-40991,-40833,95.00,-41509,-40517,95.00,-41517,-40514
GrA-57602,-39220,-39150,268.18,-39334,-39167,-38980,95.00,-39629,-38593,95.00,-39649,-38599
GrA-57603,-40175,-40160,194.20,-40288,-40159,-40031,95.00,-40528,-39769,95.00,-40541,-39775
GrA-57542,-38626,-38646,315.85,-38865,-38645,-38427,95.00,-39279,-38071,95.00,-39264,-38044
GrA-53004,-40962,-40946,222.08,-41089,-40943,-40796,95.00,-41378,-40518,95.00,-41382,-40513
GrA-57597,-41321,-41392,278.49,-41562,-41370,-41198,95.00,-41954,-40873,95.00,-41961,-40869
GrA-53000,-41926,-41879,328.90,-42107,-41873,-41642,95.00,-42502,-41257,95.00,-42513,-41255
