"Pass","Ethelruda","start dated IUP","GrA-53000","end dated IUP","start Ahmarian","GrA-57597","GrA-53004","GrA-57542","GrA-54846","GrA-57603","GrA-57602","GrA-53001","Egbert","GrA-54847","GrA-57599","GrA-57598","GrA-57544","end Ahmarian","start UP","GrA-57545","GrA-53006","GrA-54848","end UP","start EPI","GrA-53005","end EPI",
0,-45269.5,-43924.9,-41683.4,-41336.6,-41070.6,-41031.4,-40973.8,-40624,-40465.5,-40334.2,-40255.7,-40432.1,-40468.3,-40036.8,-39537.4,-39585.2,-39537,-39413.7,-38175.7,-37703,-35165.2,-30531.4,-29901.3,-28376.7,-28057,-27406,
1,-45363.9,-43924.9,-42113.1,-42081.2,-41054.5,-41033.4,-40741.2,-40614.3,-40613.1,-40214.1,-40606.3,-40555.5,-40554.5,-40124.3,-39782.4,-39609.2,-39651.2,-39413.7,-38405.8,-37703,-35165.2,-30531.4,-30254.5,-29282.1,-28057,-24719.9,
2,-44042.2,-43217.3,-42122.4,-41157,-41054.5,-40945.6,-40761.6,-40614.3,-40613.1,-40251.2,-40368.7,-40322.2,-40180.3,-40124.3,-39817.5,-39459,-39651.2,-39413.7,-38890.8,-37703,-35165.2,-30531.4,-29933.9,-29857,-28057,-24339.7,
3,-44852.2,-43217.3,-41792.6,-41172,-41032.8,-40918.5,-40910.4,-40784.3,-40701.6,-40251.2,-40307.9,-40322.2,-40380.8,-40193.4,-39670.8,-39600.6,-39651.2,-39573.3,-38890.8,-37703,-35165.2,-30240.9,-29574.5,-28996.5,-28057,-22863.6,
4,-45812.9,-42149.7,-41407.9,-41371.8,-40937.4,-40935.3,-40894,-40784.3,-40701.6,-40234.1,-40264.2,-40322.2,-40607.9,-40167.4,-39598.3,-39600.6,-39651.2,-39573.3,-39050.4,-38035.2,-35165.2,-30240.9,-29539,-28996.5,-28057,-25603.4,
5,-46006.1,-42149.7,-41681.6,-41435.1,-40977.3,-40903.9,-40833.1,-40716.9,-40701.6,-40234.1,-40641.4,-40230,-40434.7,-40167.4,-39953.9,-39575.2,-39591.3,-39573.3,-38495.8,-38035.2,-35165.2,-30240.9,-30207.5,-29332.3,-28254.7,-27818.3,
6,-47007.1,-42149.7,-41681.6,-41598.5,-40985.9,-40963,-40951.7,-40806.3,-40701.6,-40220,-40119.7,-40229.3,-40474.1,-40089.5,-39826.6,-39722.2,-39591.3,-39573.3,-39007,-38035.2,-35165.2,-30240.9,-30166.5,-28489.6,-28343.8,-27818.3,
7,-47417.7,-42149.7,-41712.4,-41598.5,-41000.4,-40944.1,-40843,-40781.9,-40732.1,-40409,-40212.7,-40526,-40376.2,-40185.7,-39652.3,-39857.8,-39607.6,-39573.3,-39355.5,-38035.2,-35165.2,-30240.9,-28439.4,-27875.3,-27850.8,-27818.3,
8,-47109.2,-42720.3,-41844.2,-41368.4,-41000.4,-40971,-40930.1,-40792.5,-40732.1,-40213.6,-40675.9,-40344.1,-40251.7,-40128.4,-40132.5,-39655.3,-39990.7,-39573.3,-38470.3,-37739.8,-36014.4,-30468.3,-29730.6,-28305.5,-28302.7,-27943,
9,-44082.3,-42720.3,-41844.2,-41588.4,-41000.4,-40949.7,-40904.3,-40736,-40732.1,-40213.6,-40571.9,-40209.7,-40494.1,-40128.4,-39646.1,-39683.9,-39880.1,-39573.3,-38470.3,-37994.7,-36345.3,-30468.3,-28258.3,-28253.1,-28021,-27943,
10,-46244.7,-43834.3,-42056.4,-41494,-41088.5,-41075.9,-40992.5,-40717.6,-40507.1,-40390.6,-40314.5,-40297.8,-40379.4,-39881.5,-39734.2,-39771.9,-39546.9,-39399.3,-38440.9,-38082.7,-36433.3,-30556.4,-29644,-28307.4,-28163.5,-28031,
11,-45473.6,-43834.3,-41960.4,-41449.8,-41088.5,-41075.9,-40858.4,-40524.7,-40507.1,-40306.3,-40128.1,-40179.1,-40173.8,-40061.9,-39734.2,-39771.9,-39804.4,-39399.3,-39336.3,-37612.7,-36433.3,-30556.4,-29663.6,-29193.4,-27542.2,-25663.2,
12,-46503.7,-44242.4,-42352.1,-41280.4,-41088.5,-41085.7,-40955.2,-40524.7,-40507.1,-40301.5,-40203.3,-40179.1,-40312.7,-40061.9,-39734.2,-40004.6,-39836.7,-39399.6,-39322.7,-37612.7,-36433.3,-30556.4,-29184,-27777.5,-27680.6,-26810.5,
13,-45467.8,-42624.2,-42037,-41642.9,-41088.5,-41077.2,-40955.2,-40524.7,-40507.1,-40301.5,-40238.7,-40387.8,-40375,-40099.6,-40133.3,-39714.9,-39836.7,-39521.9,-38593.4,-37612.7,-36433.3,-30556.4,-28963.7,-27777.5,-27680.6,-26810.5,
14,-46131.8,-42518.6,-42133.3,-41897.2,-41088.5,-41077.2,-40775.2,-40543.4,-40507.1,-40206.4,-40150.3,-40294.2,-40159.4,-40099.6,-40133.3,-39865.8,-39836.7,-39521.9,-38593.4,-37612.7,-36433.3,-30556.4,-28202.5,-27777.5,-27680.6,-26810.5,
15,-46873.2,-42518.6,-41959.1,-41897.2,-41088.5,-41077.2,-41010.1,-40543.4,-40376.9,-40238.4,-40406.1,-40353.5,-40245.1,-40096.2,-39865.4,-39865.8,-39917,-39521.9,-38342.3,-37612.7,-36433.3,-30556.4,-28512,-27793,-27680.6,-26810.5,
16,-42772.2,-42518.6,-42122.9,-42049,-41088.5,-41068.2,-41010.1,-40621.4,-40395.7,-40238.4,-40515.8,-40340.3,-40316.7,-40096.2,-40198.5,-39768.6,-39569.8,-39512.9,-38124.5,-37612.7,-36433.3,-30556.4,-29594,-28313.6,-28098,-24503.4,
17,-45534.8,-42349.5,-42228.9,-42049,-41088.5,-41086.1,-40982.4,-40588.9,-40580.4,-40157.5,-40556,-40052.2,-40239.5,-39913,-39865.3,-39573.5,-39464.3,-39463,-38124.5,-37971.9,-36433.3,-30556.4,-30305.1,-28767.3,-28098,-27557.1,
18,-46979.7,-42349.5,-42176.2,-42049,-41123.2,-40975.5,-40769.4,-40588.9,-40580.4,-40101.5,-40318.7,-40052.2,-40245.8,-39913,-39865.3,-39573.5,-39845.8,-39348.3,-39176.9,-37971.9,-36433.3,-30556.4,-29746.4,-29713.2,-27979.2,-27038.8,
19,-44060.8,-42349.5,-42195.2,-42049,-41123.2,-41008.8,-40958.6,-40588.9,-40580.4,-40101.5,-40318.7,-40135.9,-40399.8,-39913,-39865.3,-39573.5,-39694.1,-39546.9,-39022.5,-37796.5,-36490.3,-30563.3,-29912.1,-28528.5,-27979.2,-27038.8,
20,-46649.9,-42349.5,-42235.9,-41872.7,-41123.2,-41113.1,-40958.6,-40694.8,-40580.4,-40101.5,-40286.9,-40135.9,-40558,-39913,-40022.9,-39573.5,-39708.8,-39546.9,-38344.1,-38215.5,-36490.3,-30563.3,-29932.3,-29157.3,-27979.2,-27038.8,
21,-46590.8,-42349.5,-42346.1,-41703.3,-41123.2,-41029.6,-40814.2,-40694.8,-40580.4,-40101.5,-40470.9,-40135.9,-40414.1,-39913,-40022.9,-39734.2,-39708.8,-39546.9,-38618.1,-38215.5,-36490.3,-30563.3,-30462.6,-29157.3,-27757.7,-25278.3,
22,-45095.7,-41856.1,-41791.9,-41672.7,-41087.2,-41025.5,-40994.6,-40694.8,-40580.4,-40026.4,-40186,-40397.6,-40201,-39933.2,-40022.9,-39722.2,-39644.9,-39546.9,-38472.9,-38215.5,-36490.3,-30563.3,-30401.7,-29069.6,-28080.2,-25336,
23,-44725.9,-41856.1,-41751.4,-41512.8,-41237.3,-41178.6,-41138.1,-40887.1,-40730.5,-40176.6,-40336.1,-40225.4,-40722.8,-40083.3,-39959.9,-39875.8,-40072.2,-39697.1,-39304.2,-37768.4,-36490.3,-30563.3,-29953.6,-29069.6,-28080.2,-25336,
24,-43926.8,-41856.1,-41826.1,-41804.3,-41352.9,-41297,-41178.1,-40799.4,-40730.5,-40124.8,-40336.1,-40225.4,-40776.6,-40083.3,-39741.8,-39816.5,-40037.5,-39697.1,-38646,-37768.4,-36490.3,-30563.3,-30061.1,-28570.4,-28080.2,-26942.3,
25,-43837.4,-41856.1,-41805.2,-41804.3,-41352.9,-41305.4,-41055.4,-40799.4,-40730.5,-40124.8,-40336.1,-40130.7,-40554.7,-40083.3,-40106.9,-39736,-39821.9,-39697.1,-38497.7,-37973.4,-36490.3,-30563.3,-30537.3,-28949.7,-27860.8,-26942.3,
26,-46077.6,-41856.1,-41832.6,-41804.3,-41352.9,-41022,-40778.2,-40749.3,-40680.6,-40038.4,-40455.3,-40044.7,-40727.7,-39994,-40019.2,-39829,-39519.1,-39043.8,-38910.9,-37973.4,-36490.3,-30563.3,-29407.1,-28144.7,-28035.5,-26942.3,
27,-46988.9,-41856.1,-41835.1,-41804.3,-41352.9,-41052.7,-40801.8,-40763.1,-40680.6,-40453.5,-40439,-40402.4,-40663,-39994,-40019.2,-39318.5,-39385.4,-39212.8,-38779.3,-37973.4,-36490.3,-30563.3,-29407.1,-28347.9,-28035.5,-26942.3,
28,-41982.4,-41856.1,-41850.4,-41804.3,-41352.9,-41023.5,-41019.2,-40776.3,-40680.6,-40552.7,-40092.7,-40113.4,-40171.3,-40078.9,-40019.2,-39318.5,-39705.1,-39212.8,-38454.6,-37973.4,-36490.3,-30563.3,-28392.7,-28347.9,-28081.6,-28017.4,
29,-47020.4,-41961.3,-41847.1,-41780.4,-41588.2,-41260.5,-40950,-40741.7,-40680.6,-40486.2,-40092.7,-40426.7,-40234.5,-40078.9,-39704.4,-39318.5,-39578.9,-39212.8,-38562.9,-38048.5,-36490.3,-30563.3,-29569.2,-28184.8,-28084.6,-28017.4,
30,-43983.3,-41961.3,-41915.7,-41774.3,-41503.6,-41289.8,-41060.8,-40810.3,-40732.6,-40341.2,-40121.6,-40249.9,-40589.9,-40107.3,-39959.8,-39322,-39476.9,-39185.7,-38760.3,-37739.6,-36490.3,-30563.3,-30113.8,-28184.8,-28145.8,-28017.4,
31,-42100.6,-41961.3,-41904.5,-41843.3,-41503.6,-41289.8,-41270.6,-40779.9,-40732.6,-40341.2,-40121.6,-40249.9,-40539.6,-40107.3,-39519.2,-39322,-39964.2,-39191.5,-38331.9,-37832,-36390,-30556.2,-28427.6,-28345.6,-28081.7,-28017.4,
32,-47187.8,-41961.3,-41876.9,-41525.7,-41453.6,-41273.6,-41051.1,-40756.4,-40732.6,-40590.8,-40121.6,-40249.9,-40575.8,-40107.3,-40054.3,-39322,-39964.2,-39191.5,-38331.9,-37832,-36390,-30556.2,-30304.8,-28410.1,-28343.7,-28017.4,
33,-43763.4,-42297.2,-41874.9,-41690.6,-41460.4,-41247.5,-41051.1,-41018.7,-40525,-40263.7,-40121.6,-40475.4,-40578.7,-40107.3,-39930.1,-39322,-39704.4,-39191.5,-38331.9,-37832,-36389.2,-30556.2,-30304.8,-28619.9,-28026.6,-28017.4,
34,-43687.3,-42236.4,-41772.5,-41674,-41654.7,-41417.9,-41204.6,-40721.3,-40525,-40339.3,-40121.6,-40475.4,-40576.7,-40107.3,-39930.1,-39322,-39849.1,-39313.7,-38331.9,-38042.1,-36379.2,-30495.6,-30463.7,-28704.2,-28539.9,-28489.4,
35,-47182.8,-42236.4,-41704,-41693.9,-41613.7,-41599.5,-41204.6,-40684.2,-40525,-40115.8,-40121.6,-40318,-40665.4,-40107.3,-39908.1,-39322,-40009.7,-39313.7,-37947.7,-37936.3,-36379.2,-30495.6,-29670.1,-28704.2,-28584.5,-28489.4,
36,-44198.9,-42236.4,-42067.6,-41743.4,-41641.4,-41569.4,-41204.6,-40785.3,-40426.1,-40115.8,-40327.3,-40194.7,-40594.5,-40107.3,-40033.4,-39322,-39537.7,-39313.7,-39010.5,-37936.3,-36379.2,-30182.7,-29442.4,-28534.8,-28213.6,-27414,
37,-47325.4,-42236.4,-42136,-41721.4,-41609,-41250.3,-41204.6,-40785.3,-40509.8,-40170.7,-40148.9,-40484.8,-40140.7,-39858.3,-39875.8,-39322,-39452.3,-39313.7,-38477.4,-37936.3,-36379.2,-30182.7,-28759.9,-28327.4,-27788.7,-27722.6,
38,-42838.3,-42236.4,-41983.8,-41703.8,-41342.2,-41250.3,-40822.8,-40716.7,-40509.8,-40170.7,-40148.9,-40484.8,-40654.5,-40038.3,-39875.8,-39322,-39452.3,-38988,-38948.1,-37990.5,-36589.3,-31013.2,-30890.1,-28327.4,-28061.7,-27329.8,
39,-46912.8,-42236.4,-41853.2,-41555.9,-41250.8,-41250.3,-41041,-40525,-40509.8,-40170.7,-40148.9,-40225.9,-40346.9,-40038.3,-39875.8,-38935.5,-39452.3,-38571.2,-38170.7,-37935.7,-36589.3,-31013.2,-30890.1,-28284.9,-28268.3,-28147.3,
40,-45567.7,-43072.1,-41703.9,-41643.9,-41440,-41323,-41006.2,-40760.4,-40646.7,-40173.5,-40260.3,-40418.8,-40292.6,-40114.6,-39967.9,-39460.2,-39180.7,-38811.9,-38490.9,-37935.7,-36589.3,-31013.2,-30890.1,-28284.9,-28247.1,-28147.3,
41,-44436.7,-43072.1,-42264.8,-41877.8,-41158.8,-41036.5,-41006.2,-40725.8,-40646.7,-40236,-40480.2,-40511.3,-40291.2,-40114.6,-39967.9,-39770.3,-39180.7,-39043.1,-38798.7,-37935.7,-36348.9,-31013.2,-30851.7,-28284.9,-28274,-28147.3,
42,-45848.5,-43292.7,-42264.8,-41877.8,-41158.8,-40981.3,-40922.1,-40725.8,-40646.7,-40236,-40624,-40436.3,-40587.3,-40114.6,-39967.9,-39408.8,-39346.6,-39052.2,-39029.1,-37732.7,-36348.9,-31013.2,-30230.8,-28284.9,-28279.7,-27976.6,
43,-47411.7,-43723.8,-42264.8,-41970.1,-41375,-41048.7,-40820.7,-40675.8,-40630,-40330.8,-40283.6,-40357.7,-40146.7,-40141.7,-39967.9,-39302.9,-39272,-39052.2,-37883.8,-37838.6,-36348.9,-31013.2,-28381.3,-28304,-28169.5,-27976.6,
44,-45222,-43590.2,-42395.3,-41946.6,-41509.7,-41277.3,-41059.2,-40818.2,-40771.9,-40469.4,-40421.7,-40496.5,-40791.1,-40278.1,-40150.6,-39429.9,-39335.1,-39036.2,-38315.2,-37949.2,-36442.8,-30118.8,-29367.2,-28307.7,-28137.8,-27976.6,
45,-45030.2,-44538.1,-42457.8,-41712.9,-41308,-41198.6,-41054.8,-40834,-40690.4,-40469.4,-40546.5,-40517.7,-40525.3,-40279.7,-40150.6,-39429.9,-39117.7,-39036.2,-38178.6,-37738.3,-36442.8,-30118.8,-29287.2,-28307.7,-28226.8,-27976.6,
46,-46426.1,-44665.7,-42339.7,-42319.4,-41422.1,-41136.9,-41054.8,-40834,-40774.1,-40335.1,-40546.5,-40527.5,-40601.2,-40279.7,-40150.6,-39288.7,-39117.7,-38894.5,-38813.6,-37738.3,-36442.8,-30118.8,-29877.1,-28307.7,-28022.8,-27976.6,
47,-46061,-44462.1,-42328.7,-42319.4,-41422.1,-41136.9,-40886.2,-40828.5,-40774.1,-40341.3,-40516,-40527.5,-40402,-40279.7,-40150.6,-39462.7,-39117.7,-39035.5,-38842.2,-38311,-36421.7,-30118.8,-29879.4,-28984.1,-28005.5,-23130.5,
48,-46672.2,-43207.3,-42288.6,-42092.9,-41422.1,-41328.6,-40948.5,-40890.7,-40774.1,-40341.3,-40516,-40806.7,-40262.2,-39740.4,-40150.6,-39462.7,-39117.7,-39043.3,-38527.6,-38311,-36421.7,-30118.8,-29951.1,-29029.5,-28005.5,-27482.7,
49,-43956,-43064.8,-42288.6,-41780.6,-41422.1,-41081.7,-41008.2,-40812.9,-40718.9,-40338.8,-40233.4,-40378.5,-40174.3,-39795.6,-39901.3,-39526,-39101,-39054.4,-37925,-37481.7,-36388.8,-30117.9,-29159.2,-28994,-28005.5,-27482.7,
